,instname,city,zip,tuition01,tuition02,tuition03,nettuition01,net_student_tuition,private03,stable_operating_rev,total03_revenue,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,total_executive_admin_managerial,total_faculty_all,full_time_employees,all_employees,salarytotal
279,Sylvia's International School of Beauty,Houston,77091,,,592822.0,592822.0,413047.0,,624607.0,444832.0,204.0,0.0,3.0,14.0,167.0,20.0,,0.0,0.0,,,,,
280,College of Biblical Studies-Houston,Houston,77036-321,,,367770.0,367770.0,367770.0,1621509.0,493807.0,2132210.0,902.0,0.0,20.0,572.0,145.0,161.0,,4.0,0.0,,,,,
281,Houston Allied Health Careers Inc,Houston,77061-000,,,73427.0,73427.0,-98857.0,,104705.0,264059.0,,,,,,,,,,,,,,
282,CRAWFORDS BARBERING ACADEMY,BEAUMONT,77703,,,,,,,,,,,,,,,,,,,,,,
283,SHIRLEY BAKER CAREER INSTITUTE,HOUSTON,77092,,,1169123.0,1169123.0,916232.0,,1248294.0,1265066.0,200.0,0.0,0.0,55.0,27.0,116.0,,0.0,0.0,,,,,
284,AMARI INSTITUTE INC,HOUSTON,77092,,,,,,,,,,,,,,,,,,,,,,
285,A PROFESSIONAL,HOUSTON,77024,,,,,,,,,,,,,,,,,,,,,,
286,Star College of Cosmetology 2,Tyler,75702-821,,,467392.0,458891.0,328295.0,,545877.0,320682.0,43.0,0.0,0.0,0.0,0.0,19.0,,0.0,0.0,,,,,
287,METHODIST HOSPITAL SCHOOL OF MEDICAL TECHNOLOGY,HOUSTON,77030-2707,,,,,,,,,7.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,4.0,13.0,0.0,19.0,
288,M WEEKS WELDING LABORATORY TESTING AND SCHOOL,NEDERLAND,77627,,,,,,,,,,,,,,,,,,,,,,
289,VISIBLE CHANGES UNIVERSITY,HOUSTON,77074,,,,,,,,,89.0,0.0,7.0,23.0,29.0,29.0,,0.0,0.0,,,,,
290,TOMBALL BEAUTY ACADEMY,TOMBALL,77375,,,,,,,,,,,,,,,,,,,,,,
291,Polytechnic Institute,Houston,77022,,,1431239.0,1431239.0,755930.0,,1451295.0,1451295.0,161.0,0.0,0.0,32.0,120.0,9.0,,0.0,0.0,,,,,
292,Remington College-Houston Campus,Houston,77082,,,3815697.0,3815697.0,2880171.0,,3815697.0,3815697.0,342.0,0.0,5.0,139.0,116.0,77.0,,5.0,0.0,6.0,27.0,40.0,49.0,588895.0
293,INSTITUTE-EASTERN ORTHODOX STUDIES,HOUSTON,77087-2409,,,,,,,,,,,,,,,,,,,,,,
294,HELICOPTERS SERVICES INC,SPRING,77379,,,,,,,,,,,,,,,,,,,,,,
295,Institute of Ocean Technology,Houston,77024,,,,,,,,,,,,,,,,,,,,,,
296,CHAMPIONS SCHOOL OF REAL ESTATE,SPRING,77379-7686,,,,,,,,,,,,,,,,,,,,,,
297,Center for Advanced Legal Studies,Houston,77098-415,,,1113457.0,1113457.0,772600.0,,1149439.0,1495127.0,219.0,1.0,4.0,53.0,60.0,101.0,,0.0,0.0,6.0,47.0,41.0,58.0,
298,Pinnacle Career Centers,Houston,77054,,,,,,,,,,,,,,,,,,,,,,
299,Pinnacle Career Center,Houston,77054,,,434130.0,434130.0,0.0,,434130.0,434130.0,18.0,0.0,0.0,11.0,7.0,0.0,,0.0,0.0,,,,,
300,Astrodome Career Centers,Houston,77054,,,21862.0,21862.0,21862.0,,21862.0,76163.0,5.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0,,,,,
301,SW School of Business and Technical Careers-Cosmetology,San Antonio,78212-190,,,14551.0,14551.0,-45069.0,,80676.0,140296.0,16.0,0.0,0.0,6.0,5.0,3.0,,0.0,0.0,,,,,
302,Sebring Career Schools,Houston,77074-601,,,563077.0,563077.0,307690.0,,568086.0,411785.0,118.0,0.0,105.0,9.0,4.0,0.0,,0.0,0.0,,,,,
303,TAYLORS INSTITUTE OF COSMETOLOGY,CORSICANA,75110,,,85354.0,85354.0,0.0,1563.0,119833.0,121396.0,40.0,0.0,0.0,0.0,0.0,23.0,,0.0,0.0,,,,,
304,School of Automotive Machinists,Houston,77055,,,543869.0,543869.0,366208.0,,933334.0,933334.0,106.0,0.0,0.0,2.0,3.0,98.0,,0.0,2.0,,,,,
305,San Antonio Beauty College 4,San Antonio,78226,,,44229.0,44229.0,15792.0,,132356.0,137210.0,9.0,0.0,0.0,0.0,7.0,0.0,,0.0,0.0,,,,,
306,University of Cosmetology Arts & Sciences-San Antonio Jamar,San Antonio,78226,,,544853.0,544853.0,242658.0,,595374.0,595374.0,78.0,0.0,0.0,9.0,67.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,6.0,
307,R S INSTITUTE,HOUSTON,77023,,,,,,,,,,,,,,,,,,,,,,
308,ITT Technical Institute-San Antonio,San Antonio,78249-3303,,,13435870.0,13435870.0,11724823.0,,13435870.0,13435870.0,750.0,9.0,11.0,49.0,420.0,260.0,,1.0,0.0,8.0,44.0,51.0,76.0,685969.0
309,CLASSIC BEAUTY ACADEMY,CONROE,77301,,,,,,,,,56.0,0.0,0.0,12.0,0.0,0.0,,0.0,0.0,,,,,
310,BAYLOR UNIVERSITY MEDICAL CENTER-SCH OF RAD TECHN,DALLAS,75246,,,,,,,,,,,,,,,,,,,,,,
311,ACTION CAREER TRAINING,ABILENE,79602-5911,,,,,,,,,,,,,,,,,,,,,,
312,PCI Health Training Center,Dallas,75247-472,,,2025183.0,2025183.0,1184834.0,,2025183.0,2025183.0,242.0,0.0,2.0,115.0,81.0,42.0,,0.0,0.0,,,,,
313,Sebring Career Schools-Houston,Houston,77083,,,512437.0,512437.0,48128.0,,514304.0,514304.0,109.0,0.0,91.0,3.0,3.0,12.0,0.0,0.0,0.0,,,,,
314,Northwest Educational Center,Houston,77092,,,340946.0,340946.0,0.0,,340946.0,340946.0,,,,,,,,,,,,,,
315,INTERNATIONAL CHRISTIAN INSTITUTE AND GRADUATE SCH,HOUSTON,77272,,,,,,,,,,,,,,,,,,,,,,
316,TEXAS SECURITY OFFICERS INSTITUTE,HOUSTON,77017-3626,,,,,,,,,,,,,,,,,,,,,,
317,TEXAS BIBLE COLLEGE,HOUSTON,77023,,,,,,,,,,,,,,,,,,,,,,
318,Seguin Beauty School,New Braunfels,78130,,,38230.0,38230.0,16513.0,,118408.0,102483.0,11.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,,,,,
319,Seguin Beauty School-New Braunfels,New Braunfels,78130,,,466825.0,466825.0,273581.0,,490248.0,490248.0,54.0,0.0,0.0,0.0,23.0,31.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,
320,ELECTRICAL TRAINING CENTER,HOUSTON,77061-2006,,,,,,,,,,,,,,,,,,,,,,
321,Interactive Learning Systems-Houston,Houston,77081-3007,,,2979470.0,2979470.0,2761862.0,,2979470.0,2979470.0,17.0,0.0,5.0,0.0,10.0,0.0,0.0,2.0,0.0,,,,,
322,BAY RIDGE CHRISTIAN COLLEGE,KENDLETON,77451,,,,,,,,,,,,,,,,,,,,,,
323,ITT Technical Institute-Houston North,Houston,77090,,,6942155.0,6942155.0,6002185.0,,6942155.0,6942155.0,380.0,3.0,6.0,64.0,150.0,156.0,,1.0,0.0,5.0,25.0,45.0,55.0,618176.0
324,ITT Technical Institute-Austin,Austin,78723,,,13135680.0,13135680.0,11669279.0,,13135680.0,13135680.0,758.0,5.0,25.0,83.0,263.0,376.0,,6.0,0.0,8.0,35.0,56.0,74.0,734374.0
325,Commonwealth Institute of Funeral Service,Houston,77090-591,,,906608.0,906608.0,782862.0,8171.0,906608.0,830027.0,150.0,0.0,0.0,54.0,30.0,64.0,,0.0,0.0,2.0,6.0,7.0,11.0,69081.0
326,Computer Career Center,El Paso,79925-202,,,1229508.0,1229508.0,519517.0,,1462822.0,1478995.0,273.0,0.0,0.0,18.0,227.0,12.0,,0.0,16.0,,,,,
327,Computer Career Center a division of Vista College,El Paso,79925-2021,,,16239334.0,16239334.0,6528274.0,,16317480.0,25966292.0,1329.0,2.0,4.0,68.0,934.0,154.0,5.0,158.0,4.0,,,,,1877745.0
328,Texas Culinary Academy,Austin,78758,,,,,,,,,135.0,0.0,4.0,11.0,23.0,96.0,,0.0,0.0,8.0,10.0,19.0,26.0,219278.0
329,Le Cordon Bleu College of Culinary Arts-Austin,Austin,78758,,,24057692.0,24057692.0,20555874.0,,27145117.0,27015135.0,1183.0,7.0,28.0,79.0,315.0,596.0,67.0,91.0,0.0,16.0,50.0,82.0,99.0,1384359.0
330,Career Academy Inc,Texarkana,75501,,,163570.0,158945.0,-5.0,,252653.0,236129.0,52.0,0.0,0.0,27.0,0.0,24.0,,0.0,0.0,,,,,
331,Iverson Business School and Court Reporting,Arlington,76011,,,391423.0,391423.0,318550.0,,412112.0,412112.0,108.0,0.0,1.0,13.0,17.0,77.0,,0.0,0.0,,,,,
332,Border Institute of Technology,El Paso,79925,,,1205670.0,1205670.0,486670.0,,1830150.0,1830150.0,201.0,0.0,0.0,14.0,151.0,33.0,,0.0,0.0,6.0,13.0,23.0,31.0,111602.0
333,MARSHALL COLLEGE OF BEAUTY,MARSHALL,75670,,,41462.0,41462.0,13025.0,,132356.0,137210.0,27.0,0.0,0.0,17.0,0.0,10.0,,0.0,0.0,,,,,
334,Star College of Cosmetology 4,Longview,75601-683,,,184794.0,173794.0,108798.0,,232135.0,150738.0,27.0,0.0,0.0,12.0,0.0,14.0,,0.0,0.0,,,,,
335,Paul Mitchell The School- Houston,Houston,77090,,,298468.0,298468.0,82598.0,,298468.0,298468.0,77.0,0.0,3.0,6.0,14.0,49.0,,5.0,0.0,,,,,
336,Paul Mitchell the School-Houston,Houston,77043,,,3136708.0,3136708.0,2322039.0,,3744229.0,3744229.0,271.0,0.0,12.0,46.0,78.0,113.0,1.0,20.0,1.0,2.0,11.0,29.0,30.0,
337,VOGUE COLLEGE OF COSMETOLOGY 25,CORPUS CHRISTI,78404,,,,,,,,,,,,,,,,,,,,,,
338,Austin Graduate School of Theology,Austin,78705,,,62874.0,53074.0,31821.0,442971.0,101292.0,575559.0,78.0,0.0,0.0,19.0,0.0,58.0,,0.0,0.0,1.0,4.0,9.0,10.0,156339.0
339,San Antonio Beauty College 3,San Antonio,78217,,,144629.0,144629.0,52394.0,,170906.0,269352.0,34.0,0.0,0.0,0.0,9.0,15.0,,0.0,0.0,,,,,
340,University of Cosmetology Arts & Sciences-San Antonio Perrin,San Antonio,78217,,,701244.0,701244.0,341439.0,,844298.0,844298.0,74.0,0.0,2.0,10.0,49.0,12.0,0.0,0.0,1.0,2.0,4.0,5.0,7.0,
341,Sebring Career Schools-Huntsville,Huntsville,77340,,,271874.0,271874.0,78209.0,,271874.0,271874.0,42.0,0.0,0.0,9.0,8.0,25.0,0.0,0.0,0.0,,,,,
342,Houston Graduate School of Theology,Houston,77092-772,,,556079.0,556079.0,406079.0,206776.0,800970.0,1185946.0,193.0,0.0,20.0,65.0,7.0,94.0,,0.0,7.0,,,,,
343,Career Centers of Texas-El Paso,El Paso,78207,,,4187408.0,4187408.0,287147.0,,1929561.0,4204138.0,557.0,0.0,0.0,9.0,469.0,78.0,,0.0,0.0,,,,,
344,Kaplan College-El Paso,El Paso,79907,,,12695934.0,12692432.0,7784169.0,,12692432.0,12309159.0,892.0,3.0,3.0,17.0,300.0,64.0,1.0,504.0,0.0,,,,,249779.0
345,Parker College of Chiropractic,Dallas,75229-566,,,16379891.0,16379891.0,16304683.2988281,67878.0,20763751.0,20939520.0,909.0,3.0,98.0,33.0,48.0,725.0,,2.0,0.0,34.0,95.0,243.0,274.0,
346,Parker University,Dallas,75229-5668,,,24885636.0,24396114.0,23985686.0,956396.0,28653904.0,31183434.0,892.0,7.0,52.0,58.0,89.0,614.0,10.0,57.0,5.0,,,,,3634781.0
347,RHDC HAIR DESIGN COLLEGE,FT WORTH,76115,,,156312.0,156312.0,32628.0,,256386.0,256386.0,68.0,0.0,6.0,58.0,0.0,0.0,,0.0,0.0,,,,,
348,WILLIAMS BARBER COLLEGE,FT WORTH,76104,,,,,,,,,,,,,,,,,,,,,,
349,Wiley College,Marshall,75670,,,4333480.0,3854801.0,1905016.0,2088587.0,9389565.0,11571395.0,578.0,0.0,0.0,506.0,0.0,18.0,,0.0,51.0,11.0,42.0,124.0,127.0,1248334.0
350,Wharton County Junior College,Wharton,77488,,,5322919.0,4692390.0,3585702.0,369643.0,18898650.0,21356226.0,4454.0,16.0,207.0,421.0,872.0,2921.0,,0.0,17.0,5.0,280.0,256.0,468.0,4191476.0
351,Western Texas College,Snyder,79549-950,,,1083223.0,1030816.0,498529.0,15485.0,7609577.0,8179665.0,1257.0,10.0,6.0,130.0,187.0,923.0,,0.0,1.0,12.0,78.0,116.0,201.0,1372156.0
352,West Texas A & M University,Canyon,79016-000,,,18738088.0,17804550.0,10294452.0,1084717.0,67475615.0,73154856.0,6651.0,44.0,73.0,191.0,662.0,5497.0,,0.0,184.0,109.0,311.0,649.0,785.0,8653257.0
353,WEST TEXAS BARBER STYLING COLLEGE,AMARILLO,79109,,,,,,,,,,,,,,,,,,,,,,
354,Weatherford College,Weatherford,76086-569,,,3035330.0,2597809.0,1203526.0,54100.0,15502616.0,17284248.0,2692.0,24.0,20.0,81.0,171.0,2354.0,,16.0,26.0,40.0,264.0,167.0,470.0,2991444.0
355,Wayland Baptist University,Plainview,79072,,,16178543.0,13871105.0,11135776.0,4617820.0,18561545.0,28001016.0,4586.0,32.0,86.0,741.0,596.0,2701.0,,400.0,30.0,32.0,87.0,267.0,300.0,3111910.0
356,WADLEY REGIONAL MEDICAL CENTER-SCHOOL OF RAD TECHN,TEXARKANA,75504,,,,,,,,,,,,,,,,,,,,,,
357,WADLEY REGIONAL MEDICAL CENTER SCHOOL OF MED TECH,TEXARKANA,75501,,,,,,,,,,,,,,,,,,,,,,
358,VOGUE COLLEGE OF COSMETOLOGY 13,SAN ANTONIO,78228,,,,,,,,,,,,,,,,,,,,,,
359,VOGUE COLLEGE OF COSMETOLOGY 15,SAN ANTONIO,78210,,,,,,,,,,,,,,,,,,,,,,
360,VOGUE COLLEGE OF COSMETOLOGY 4,AUSTIN,78751,,,,,,,,,,,,,,,,,,,,,,
361,VOGUE COLLEGE OF COSMETOLOGY 2,AUSTIN,78704,,,,,,,,,,,,,,,,,,,,,,
362,VOGUE COLLEGE OF COSMETOLOGY 9,LUBBOCK,79411,,,,,,,,,,,,,,,,,,,,,,
363,VOGUE COLLEGE OF COSMETOLOGY 8,WACO,76708,,,,,,,,,,,,,,,,,,,,,,
364,VOGUE COLLEGE OF COSMETOLOGY 7,MCALLEN,78501,,,,,,,,,,,,,,,,,,,,,,
365,VOGUE COLLEGE OF COSMETOLOGY 5,SAN ANTONIO,78221,,,,,,,,,,,,,,,,,,,,,,
366,International Renowned Beauty Academy,Fort Worth,76103,,,,,,,,,,,,,,,,,,,,,,
367,VOGUE COLLEGE OF COSMETOLOGY 14,SAN ANTONIO,78201,,,,,,,,,,,,,,,,,,,,,,
368,VOGUE COLLEGE OF COSMETOLOGY 1,CORPUS CHRISTI,78412,,,,,,,,,,,,,,,,,,,,,,
369,Victoria College,Victoria,77901,,,3196404.0,2522438.0,631740.0,749832.0,18409352.0,21500082.0,3801.0,6.0,38.0,167.0,1041.0,2537.0,,0.0,12.0,8.0,200.0,226.0,340.0,4262751.0
370,Victoria Beauty College Inc,Victoria,77901-623,,,442578.0,424475.0,366677.0,18103.0,463198.0,500404.0,67.0,0.0,0.0,13.0,26.0,0.0,,0.0,0.0,,,,,
371,Vernon College,Vernon,76384-409,,,2745109.0,2486013.0,584378.0,307087.0,13068072.0,14890885.0,2097.0,28.0,29.0,182.0,216.0,1627.0,,0.0,15.0,60.0,154.0,181.0,333.0,2126505.0
372,VALLEY BAPTIST MEDICAL CENTER SCHOOL OF VOC NURS,HARLINGEN,78550,,,,,,,,,,,,,,,,,,,,,,
373,Universal Technical Institute of Texas Inc,Houston,77073,,,16279000.0,16197930.0,13249559.0,,16197930.0,16279000.0,1336.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,
374,University of Houston-System Administration,Houston,77204-201,,,,,,7984216.0,46157830.0,56143967.0,,,,,,,,,,,,,,
375,Tyler Junior College,Tyler,75789-000,,,8685902.0,7762626.0,2536254.0,1173762.0,38089815.0,45117120.0,8447.0,33.0,74.0,1661.0,346.0,6284.0,,0.0,49.0,37.0,417.0,462.0,802.0,8686357.0
376,TYLER COUNTY HOSPITAL SCHOOL OF NURSING,WOODVILLE,75979,,,,,,,,,,,,,,,,,,,,,,
377,Texas Tech University Health Sciences Center,Lubbock,79430-830,,,8801133.0,7927328.0,6949594.0,34003712.0,335960132.0,373959328.0,1650.0,12.0,0.0,27.0,150.0,1289.0,,0.0,172.0,171.0,729.0,3345.0,3776.0,5250789.0
378,Texas State Technical College-West Texas,Sweetwater,79556,,,1638105.0,1288838.0,-705402.0,56615.0,19459006.0,21352532.0,1224.0,8.0,11.0,50.0,241.0,914.0,,0.0,0.0,10.0,97.0,215.0,229.0,2847414.0
379,Texas State Technical College-Harlingen,Harlingen,78550-369,,,5462753.0,5413837.0,1139548.0,118718.0,32920162.0,36702716.0,3353.0,3.0,16.0,9.0,2919.0,406.0,,0.0,0.0,8.0,224.0,425.0,557.0,4772039.0
380,Texas State Technical College Harlingen,Harlingen,78550-3697,,,10388902.0,10315122.0,-1925779.0,,47536730.0,47482235.0,5466.0,9.0,35.0,37.0,4851.0,471.0,,26.0,37.0,9.0,251.0,492.0,619.0,5998319.0
381,Trinity University,San Antonio,78212-720,,,37025148.0,24382650.0,21504981.0,14120734.0,45085522.0,146267840.0,2515.0,12.0,185.0,59.0,258.0,1783.0,,186.0,32.0,34.0,271.0,621.0,701.0,13693600.0
382,Texas Woman's University,Denton,76201,,,23559144.0,18200024.0,14745565.0,1818537.0,97240518.0,107783520.0,8624.0,66.0,414.0,1179.0,778.0,6011.0,,0.0,176.0,46.0,432.0,1077.0,1161.0,18410679.0
383,Texas Wesleyan University,Fort Worth,76105-153,,,24927644.0,21081384.0,16871315.0,3397650.0,24015052.0,30275542.0,3049.0,41.0,68.0,380.0,407.0,1958.0,,97.0,98.0,35.0,248.0,350.0,483.0,6197101.0
384,Texas Vocational Schools Inc,Victoria,77901-562,,,710565.0,710565.0,355000.0,,1388969.0,1033969.0,185.0,0.0,0.0,22.0,69.0,93.0,,0.0,0.0,,,,,
385,Texas Tech University,Lubbock,79409-500,,,94617568.0,82977584.0,66153720.0,20395452.0,333755100.0,376948064.0,24249.0,101.0,464.0,720.0,2357.0,19657.0,,195.0,755.0,262.0,2385.0,3738.0,5909.0,48527003.0
386,The University of Texas System Office,Austin,78701-298,,,,,,394548.0,17779470.0,18174018.0,,,,,,,,,,,,,,
387,Texas Southern University,Houston,77004,,,21125716.0,19107594.0,11095972.0,2879869.0,83427111.0,95268616.0,6522.0,9.0,217.0,5457.0,347.0,168.0,,0.0,324.0,58.0,413.0,880.0,985.0,14205110.0
388,Texas Lutheran University,Seguin,78155-599,,,14867193.0,10924162.0,8278947.0,3943031.0,17771225.0,21630448.0,1547.0,9.0,20.0,92.0,277.0,1087.0,,12.0,50.0,33.0,131.0,222.0,310.0,2608134.0
389,University of North Texas Health Science Center at Fort Worth,Forth Worth,76107,,,4522197.0,4051852.0,3546801.0,3310281.0,90815834.0,97082992.0,705.0,6.0,162.0,36.0,61.0,411.0,,0.0,29.0,37.0,253.0,918.0,1017.0,
390,University of North Texas Health Science Center,Forth Worth,76107-2699,,,8151410.0,8061468.0,7300578.0,155109.0,152973802.0,156634000.0,1049.0,11.0,188.0,65.0,99.0,589.0,,2.0,95.0,52.0,377.0,1149.0,1343.0,
391,Texas College,Tyler,75702,,,3660959.0,2452478.0,351977.0,575997.0,5220336.0,6583522.0,294.0,0.0,3.0,285.0,0.0,4.0,,0.0,0.0,23.0,36.0,95.0,112.0,639923.0
392,Texas Christian University,Fort Worth,76129,,,83951000.0,60780000.0,55366699.0,6023000.0,93260000.0,169208992.0,7551.0,56.0,160.0,320.0,397.0,5906.0,,318.0,394.0,172.0,575.0,1167.0,1499.0,22671431.0
393,Texas Chiropractic College Foundation Inc,Pasadena,77505,,,6446477.0,6399960.0,6178963.0,265145.0,6987250.0,7552180.0,435.0,3.0,74.0,32.0,45.0,267.0,,6.0,8.0,14.0,38.0,94.0,101.0,1130161.0
394,TEXAS BARBER COLLEGE AND HAIRSTYLING SCHOOL 3,RICHARDSON,75080,,,,,,,,,,,,,,,,,,,,,,
395,TEXAS BAPTIST INSTITUTE AND SEMINARY,HENDERSON,75652,,,,,,,,,,,,,,,,,,,,,,
396,The Texas A & M University System Office,College Station,77845-342,,,,-1102.0,-2501104.0,458553.0,36670759.0,38541205.0,,,,,,,,,,,,,,
397,The Texas A&M University System Office,College Station,77845-3424,,,,,,233500.0,25268358.0,3640675.0,,,,,,,,,,,,,,
398,Texas A & M University,College Station,77843,,,200151616.0,170279840.0,127651481.0,89334968.0,1007888214.0,1144344960.0,43817.0,190.0,1445.0,1130.0,3793.0,33714.0,,608.0,2937.0,462.0,4228.0,7240.0,9857.0,117458749.0
399,Texas A & M University-College Station,College Station,77843-1244,,,490670975.0,410256455.0,314608364.0,124059387.0,1804121370.0,2030258765.0,49129.0,171.0,2149.0,1525.0,7020.0,32954.0,902.0,124.0,4284.0,542.0,5586.0,8305.0,11355.0,222985883.0
400,Texas A & M University at Galveston,Galveston,77554,,,5276501.0,4842872.0,3705608.0,665285.0,27680126.0,29246284.0,1288.0,8.0,22.0,17.0,107.0,1090.0,,33.0,11.0,30.0,63.0,294.0,294.0,2513519.0
401,Texas A & M University-Galveston,Galveston,77554,,,16125426.0,15520909.0,10576272.0,682678.0,47540738.0,49637595.0,1867.0,21.0,30.0,50.0,262.0,1427.0,49.0,10.0,18.0,,,,,6618439.0
402,Texas A & M University-Kingsville,Kingsville,78363,,,15983869.0,12237066.0,5245129.0,909273.0,68906839.0,80119240.0,5843.0,24.0,53.0,313.0,3598.0,1570.0,,0.0,285.0,50.0,386.0,817.0,936.0,9008511.0
403,Texarkana College,Texarkana,75599,,,3819357.0,3723523.0,1433831.0,,18395802.0,20313860.0,4010.0,4.0,11.0,709.0,65.0,3215.0,,0.0,6.0,6.0,107.0,243.0,243.0,4386499.0
404,Texas State Technical College-System,Waco,76705,,,,,,,2767311.0,2767311.0,,,,,,,,,,,,,,
405,Temple College,Temple,76504-743,,,3550490.0,3315614.0,1889957.0,373851.0,15660503.0,17634900.0,3261.0,19.0,31.0,372.0,411.0,2417.0,,0.0,11.0,17.0,191.0,195.0,314.0,3720693.0
406,Tarleton State University,Stephenville,76402-000,,,19377282.0,17391586.0,11261025.0,1891842.0,62583189.0,70490216.0,7433.0,56.0,95.0,539.0,450.0,6250.0,,0.0,43.0,63.0,411.0,691.0,925.0,11034174.0
407,Sul Ross State University,Alpine,79832,,,5577252.0,5233567.0,1738300.0,293487.0,35543663.0,39390556.0,2965.0,14.0,13.0,86.0,1534.0,1297.0,,0.0,21.0,41.0,226.0,345.0,454.0,5311790.0
408,Southwestern Christian College,Terrell,75160-481,,,1237886.0,1092123.0,735253.0,1843507.0,4404415.125,5207961.0,187.0,0.0,0.0,163.0,0.0,0.0,,0.0,18.0,7.0,21.0,47.0,70.0,247000.0
409,Southwestern Baptist Theological Seminary,Fort Worth,76115,,,6771014.0,4100326.0,4100326.0,5735216.0,10473644.0,38509900.0,3142.0,16.0,105.0,151.0,77.0,2549.0,,2.0,242.0,,,,,2811203.0
410,Southwestern Adventist University,Keene,76059,,,8183488.0,6673640.0,5188574.0,955536.0,10308633.0,12037296.0,1149.0,12.0,51.0,170.0,168.0,631.0,,0.0,117.0,21.0,91.0,110.0,165.0,1424025.0
411,Texas State University-San Marcos,San Marcos,78666,,,68138208.0,61380920.0,53473571.0,4788221.0,212416354.0,231577408.0,21769.0,132.0,416.0,1085.0,3968.0,15676.0,,186.0,306.0,148.0,902.0,2008.0,2667.0,30069982.0
412,Stephen F Austin State University,Nacogdoches,75962,,,27249114.0,25124940.0,16785448.0,3417155.0,117373372.0,129011216.0,11919.0,66.0,108.0,1383.0,614.0,9698.0,,0.0,50.0,81.0,493.0,1226.0,1312.0,18705265.0
413,STENOGRAPH INSTITUTE OF TEXAS,ABILENE,79601,,,,-5000.0,-162487.0,,1021746.0,1035882.0,79.0,0.0,0.0,9.0,32.0,38.0,,0.0,0.0,,,,,
414,SST TRAVEL SCHOOL,SAN ANTONIO,78228,,,,,,,,,,,,,,,,,,,,,,
415,Southwestern University,Georgetown,78626,,,18947612.0,12972831.0,11099253.0,16109738.0,19681667.0,58374660.0,1254.0,0.0,42.0,34.0,118.0,1050.0,,0.0,8.0,37.0,144.0,344.0,403.0,5432438.0
416,SOUTHWESTERN PROFESSIONAL INSTITUTE,HOUSTON,77056,,,,,,,,,,,,,,,,,,,,,,
417,Southwestern Assemblies of God University,Waxahachie,75165,,,9713860.0,9641360.0,7616089.0,3390161.0,12913825.0,15664503.0,1672.0,40.0,18.0,76.0,235.0,1285.0,,0.0,16.0,11.0,76.0,169.0,193.0,1894846.0
418,Southwest Texas Junior College,Uvalde,78801-629,,,3598660.0,3527857.0,-634059.0,16614.0,18642941.0,22766492.0,3397.0,0.0,20.0,49.0,2557.0,755.0,,9.0,7.0,7.0,182.0,220.0,418.0,2942846.0
419,Southwest Institute of Technology,Austin,78735,,,1167367.0,1167367.0,993801.0,,1252680.0,1205666.0,92.0,0.0,20.0,17.0,23.0,28.0,,4.0,0.0,0.0,15.0,6.0,20.0,48248.0
420,SOUTHWEST BIBLE INSTITUTE,SAN ANGELO,76901,,,,,,,,,,,,,,,,,,,,,,
